official_name,short_name,platform_official_name,release_date,series_universe
Power Strike II,Power Strike II,Sega Master System,1993-09-01,Power Strike II
Pro Wrestling,Pro Wrestling,Sega Master System,1986-12-01,Pro Wrestling
Psycho Fox,Psycho Fox,Sega Master System,1990-05-01,Psycho Fox
R.C. Grand Prix,R.C. Grand Prix,Sega Master System,1989-01-01,R.C. Grand Prix
Rainbow Islands: Story of the Bubble Bobble 2,Rainbow Islands: Story of the Bubble Bobble 2,Sega Master System,1993-01-01,Rainbow Islands: Story of the Bubble Bobble 2
Rampage,Rampage,Sega Master System,1998-01-01,Rampage
Road Rash,Road Rash,Sega Master System,1994-03-01,Road Rash
Shadow Dancer: The Secret of Shinobi,Shadow Dancer,Sega Master System,1991-01-01,Shadow Dancer
Shanghai,Shanghai,Sega Master System,1988-10-01,Shanghai
Shinobi,Shinobi,Sega Master System,1988-09-01,Shinobi
Sonic Chaos,Sonic Chaos,Sega Master System,1993-10-25,Sonic Chaos
Sonic the Hedgehog,Sonic,Sega Master System,1991-12-28,Sonic the Hedgehog
Sonic the Hedgehog 2,Sonic 2,Sega Master System,1992-10-16,Sonic the Hedgehog
Speedball (Image Works),Speedball,Sega Master System,1991-03-01,Speedball
Spider - Man,Spider - Man,Sega Master System,1991-08-01,Spider - Man
Spy vs. Spy,Spy vs. Spy,Sega Master System,1988-10-01,Spy vs. Spy
Star Wars,Star Wars,Sega Master System,1994-01-01,Star Wars
Streets of Rage,Streets of Rage,Sega Master System,1993-06-07,Streets of Rage
Streets of Rage II,Streets of Rage II,Sega Master System,1993-12-01,Streets of Rage
Super Kick Off,Super Kick Off,Sega Master System,1991-12-01,Super Kick Off
Super Monaco GP,Super Monaco GP,Sega Master System,1990-09-01,Super Monaco GP
Super Tennis,Super Tennis,Sega Master System,1986-06-01,Super Tennis
Teddy Boy,Teddy Boy,Sega Master System,1985-10-20,Teddy Boy
The Flash,The Flash,Sega Master System,1993-10-01,The Flash
The Incredible Hulk,The Incredible Hulk,Sega Master System,1994-01-01,The Incredible Hulk
The Lucky Dime Caper Starring Donald Duck,Donald Duck,Sega Master System,1991-12-20,Donald Duck
The Ninja,The Ninja,Sega Master System,1986-12-01,The Ninja
The Ottifants,The Ottifants,Sega Master System,1993-01-01,The Ottifants
Transbot,Transbot,Sega Master System,1986-10-01,Transbot
