official_name,short_name,platform_official_name,release_date,series_universe
Terranigma,Terranigma,Super Nintendo Entertainment System,1996-12-19,Terranigma
The Adventures of Batman & Robin,Batman & Robin,Super Nintendo Entertainment System,1994-12-01,Batman
The Blues Brothers,The Blues Brothers,Super Nintendo Entertainment System,1993-06-01,The Blues Brothers
The Great Circus Mystery Starring Mickey & Minnie,The Great Circus Mystery Starring Mickey & Minnie,Super Nintendo Entertainment System,1994-10-01,Mickey
The Incredible Hulk,The Incredible Hulk,Super Nintendo Entertainment System,1994-08-01,The Incredible Hulk
The Legend of Zelda: A Link to the Past,A Link to the Past,Super Nintendo Entertainment System,1992-09-24,The Legend of Zelda
The Lion King,The Lion King,Super Nintendo Entertainment System,1994-11-11,The Lion King
The Magical Quest Starring Mickey Mouse,The Magical Quest,Super Nintendo Entertainment System,1993-03-18,Mickey
The Pagemaster,The Pagemaster,Super Nintendo Entertainment System,1994-01-01,The Pagemaster
The Ren & Stimpy Show - Veediots!,The Ren & Stimpy Show - Veediots!,Super Nintendo Entertainment System,1993-10-01,The Ren & Stimpy Show - Veediots!
The Ren & Stimpy Show: Time Warp,The Ren & Stimpy Show: Time Warp,Super Nintendo Entertainment System,1995-06-16,The Ren & Stimpy Show: Time Warp
The Simpsons: Bart's Nightmare,The Simpsons,Super Nintendo Entertainment System,1993-01-09,The Simpsons
The Smurfs,The Smurfs,Super Nintendo Entertainment System,1994-01-01,The Smurfs
Tintin in Tibet,Tintin in Tibet,Super Nintendo Entertainment System,1995-12-15,Tintin
Tintin: Prisoners of the Sun,Tintin: Prisoners of the Sun,Super Nintendo Entertainment System,1997-01-01,Tintin
Tiny Toon Adventures: Buster Busts Loose!,Tiny Toon Adventures: Buster Busts Loose!,Super Nintendo Entertainment System,1993-02-01,Tiny Toon Adventures: Buster Busts Loose!
Troddlers,Troddlers,Super Nintendo Entertainment System,1993-01-01,Troddlers
Urban Strike,Urban Strike,Super Nintendo Entertainment System,1995-11-01,Urban Strike
Wario's Woods,Wario's Woods,Super Nintendo Entertainment System,1994-12-10,Wario's Woods
Whirlo,Whirlo,Super Nintendo Entertainment System,1992-07-23,Whirlo
Worms,Worms,Super Nintendo Entertainment System,1995-01-01,Worms
WWF Royal Rumble,WWF Royal Rumble,Super Nintendo Entertainment System,1993-06-08,WWF Royal Rumble
WWF Super Wrestlemania,WWF Super Wrestlemania,Super Nintendo Entertainment System,1992-02-12,WWF Super Wrestlemania
Young Merlin,Young Merlin,Super Nintendo Entertainment System,1994-03-31,Young Merlin
Zombies,Zombies,Super Nintendo Entertainment System,1994-01-27,Zombies
